12:46:23.989 [AWT-EventQueue-0] INFO  c.b.actions.EnableBrowserStack - Setting enable browserstack run update
12:46:24.004 [AWT-EventQueue-0] INFO  c.b.actions.DisableBrowserStack - Setting disable browserstack run update
12:47:35.355 [ApplicationImpl pooled thread 167] INFO  c.b.l.BrowserStackRunExtension - testng
12:47:35.355 [ApplicationImpl pooled thread 167] INFO  com.browserstack.utils.Helpers - null
12:47:35.355 [ApplicationImpl pooled thread 167] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:48:18.559 [ApplicationImpl pooled thread 179] INFO  c.b.l.BrowserStackRunExtension - testng
12:48:18.559 [ApplicationImpl pooled thread 179] INFO  com.browserstack.utils.Helpers - null
12:48:18.559 [ApplicationImpl pooled thread 179] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:51:36.095 [ApplicationImpl pooled thread 178] INFO  c.b.l.BrowserStackRunExtension - testng
12:51:36.095 [ApplicationImpl pooled thread 178] INFO  com.browserstack.utils.Helpers - null
12:51:36.097 [ApplicationImpl pooled thread 178] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:01:40.309 [ApplicationImpl pooled thread 196] INFO  c.b.l.BrowserStackRunExtension - testng
13:01:40.309 [ApplicationImpl pooled thread 196] INFO  com.browserstack.utils.Helpers - null
13:01:40.309 [ApplicationImpl pooled thread 196] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:13:59.166 [ApplicationImpl pooled thread 212] INFO  c.b.l.BrowserStackRunExtension - testng
13:13:59.167 [ApplicationImpl pooled thread 212] INFO  com.browserstack.utils.Helpers - null
13:13:59.169 [ApplicationImpl pooled thread 212] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:21:10.132 [ApplicationImpl pooled thread 236] INFO  c.b.l.BrowserStackRunExtension - testng
13:21:10.132 [ApplicationImpl pooled thread 236] INFO  com.browserstack.utils.Helpers - null
13:21:10.134 [ApplicationImpl pooled thread 236] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:25:13.602 [ApplicationImpl pooled thread 245] INFO  c.b.l.BrowserStackRunExtension - testng
13:25:13.602 [ApplicationImpl pooled thread 245] INFO  com.browserstack.utils.Helpers - null
13:25:13.602 [ApplicationImpl pooled thread 245] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:26:22.725 [ApplicationImpl pooled thread 247] INFO  c.b.l.BrowserStackRunExtension - testng
13:26:22.725 [ApplicationImpl pooled thread 247] INFO  com.browserstack.utils.Helpers - null
13:26:22.725 [ApplicationImpl pooled thread 247] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:27:59.881 [ApplicationImpl pooled thread 252] INFO  c.b.l.BrowserStackRunExtension - testng
13:27:59.881 [ApplicationImpl pooled thread 252] INFO  com.browserstack.utils.Helpers - null
13:27:59.886 [ApplicationImpl pooled thread 252] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
10:36:32.402 [ApplicationImpl pooled thread 87] INFO  c.b.l.BrowserStackRunExtension - testng
10:36:32.402 [ApplicationImpl pooled thread 87] INFO  com.browserstack.utils.Helpers - null
10:36:32.407 [ApplicationImpl pooled thread 87] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
